TRADEDATE,CLOSE,NAME
2020-01-06,256.55,GAZP
2020-01-08,255.79,GAZP
2020-01-09,254.07,GAZP
2020-01-10,251.9,GAZP
2020-01-13,251.5,GAZP
2020-01-14,250.0,GAZP
2020-01-15,251.3,GAZP
2020-01-16,254.26,GAZP
2020-01-17,255.39,GAZP
2020-01-20,253.5,GAZP
2020-01-21,252.99,GAZP
2020-01-22,248.1,GAZP
2020-01-23,239.3,GAZP
2020-01-24,237.95,GAZP
2020-01-27,230.96,GAZP
2020-01-28,235.0,GAZP
2020-01-29,232.0,GAZP
2020-01-30,231.53,GAZP
2020-01-31,226.7,GAZP
2020-02-03,227.64,GAZP
2020-02-04,230.5,GAZP
2020-02-05,232.56,GAZP
2020-02-06,231.38,GAZP
2020-02-07,229.11,GAZP
2020-02-10,225.2,GAZP
2020-02-11,233.9,GAZP
2020-02-12,238.03,GAZP
2020-02-13,233.55,GAZP
2020-02-14,232.5,GAZP
2020-02-17,233.75,GAZP
2020-02-18,230.5,GAZP
2020-02-19,231.9,GAZP
2020-02-20,234.6,GAZP
2020-02-21,232.0,GAZP
2020-02-25,224.68,GAZP
2020-02-26,224.76,GAZP
2020-02-27,217.5,GAZP
2020-02-28,202.65,GAZP
2020-03-02,198.78,GAZP
2020-03-03,201.48,GAZP
2020-03-04,200.0,GAZP
2020-03-05,198.0,GAZP
2020-03-06,188.27,GAZP
2020-03-10,171.0,GAZP
2020-03-11,172.03,GAZP
2020-03-12,163.73,GAZP
2020-03-13,166.1,GAZP
2020-03-16,168.07,GAZP
2020-03-17,167.0,GAZP
2020-03-18,166.34,GAZP
2020-03-19,174.56,GAZP
2020-03-20,176.26,GAZP
2020-03-23,168.35,GAZP
2020-03-24,177.95,GAZP
2020-03-25,180.2,GAZP
2020-03-26,181.5,GAZP
2020-03-27,174.5,GAZP
2020-03-30,176.44,GAZP
2020-03-31,181.41,GAZP
2020-04-01,180.06,GAZP
2020-04-02,187.04,GAZP
2020-04-03,189.77,GAZP
2020-04-06,191.1,GAZP
2020-04-07,191.22,GAZP
2020-04-08,194.11,GAZP
2020-04-09,193.86,GAZP
2020-04-10,192.0,GAZP
2020-04-13,188.07,GAZP
2020-04-14,190.11,GAZP
2020-04-15,184.25,GAZP
2020-04-16,184.3,GAZP
2020-04-17,184.68,GAZP
2020-04-20,185.51,GAZP
2020-04-21,181.92,GAZP
2020-04-22,188.36,GAZP
2020-04-23,188.73,GAZP
2020-04-24,185.71,GAZP
2020-04-27,186.29,GAZP
2020-04-28,188.5,GAZP
2020-04-29,193.87,GAZP
2020-04-30,190.0,GAZP
2020-05-04,185.7,GAZP
2020-05-05,190.0,GAZP
2020-05-06,187.05,GAZP
2020-05-07,185.85,GAZP
2020-05-08,185.34,GAZP
2020-05-12,186.17,GAZP
2020-05-13,184.2,GAZP
2020-05-14,183.91,GAZP
2020-05-15,183.85,GAZP
2020-05-18,192.5,GAZP
2020-05-19,194.2,GAZP
2020-05-20,196.74,GAZP
2020-05-21,194.74,GAZP
2020-05-22,194.35,GAZP
2020-05-25,197.55,GAZP
2020-05-26,196.86,GAZP
2020-05-27,194.73,GAZP
2020-05-28,196.86,GAZP
2020-05-29,199.95,GAZP
2020-06-01,198.72,GAZP
2020-06-02,201.97,GAZP
2020-06-03,208.0,GAZP
2020-06-04,201.46,GAZP
2020-06-05,203.05,GAZP
2020-06-08,204.91,GAZP
2020-06-09,204.84,GAZP
2020-06-10,201.75,GAZP
2020-06-11,196.74,GAZP
2020-06-15,194.2,GAZP
2020-06-16,196.59,GAZP
2020-06-17,195.86,GAZP
2020-06-18,193.0,GAZP
2020-06-19,195.81,GAZP
2020-06-22,194.3,GAZP
2020-06-23,194.83,GAZP
2020-06-25,192.25,GAZP
2020-06-26,193.0,GAZP
2020-06-29,197.94,GAZP
2020-06-30,194.31,GAZP
2020-07-02,195.28,GAZP
2020-07-03,197.2,GAZP
2020-07-06,199.99,GAZP
2020-07-07,197.96,GAZP
2020-07-08,201.17,GAZP
2020-07-09,199.44,GAZP
2020-07-10,200.94,GAZP
2020-07-13,195.7,GAZP
2020-07-14,193.6,GAZP
2020-07-15,182.26,GAZP
2020-07-16,183.32,GAZP
2020-07-17,184.65,GAZP
2020-07-20,188.36,GAZP
2020-07-21,186.78,GAZP
2020-07-22,187.15,GAZP
